2022-05-13 01:29:13.0078|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:7002 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-05-13 01:29:13.0288|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 01:29:13.0288|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Production |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 01:29:13.0288|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Work\BinFCProject |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:40:43.9826|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:7002 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-05-13 04:40:44.0030|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:40:44.0030|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Production |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:40:44.0030|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Work\BinFCProject |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:41:13.6883|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:7002 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-05-13 04:41:13.7094|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:41:13.7094|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Production |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:41:13.7094|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Work\BinFCProject |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:42:14.1817|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:7002 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-05-13 04:42:14.2004|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:42:14.2004|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Production |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:42:14.2004|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Work\BinFCProject |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:42:27.4241|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:7002 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-05-13 04:42:27.4436|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:42:27.4436|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Production |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:42:27.4436|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Work\BinFCProject |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:43:49.0671|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:7002 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-05-13 04:43:49.0872|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:43:49.0872|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Production |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 04:43:49.0872|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Work\BinFCProject |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 17:25:19.7685|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:7002 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-05-13 17:25:19.8097|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 17:25:19.8097|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Production |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-05-13 17:25:19.8097|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\Work\BinFCProject |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
